strong,text
0006,Ἅβελ
0007,Ἀβιὰ
0008,Ἀβιαθὰρ
0010,Ἀβιοὺδ
0011,Ἀβραὰμ
0018,ἀγαθός
0025,Ἀγαπήσεις
0032,ἀγγέλοις
0040,Ἁγίῳ
0059,ἀγοράσατε
0068,ἀγρὸν
0079,ἀδελφὴ
0080,ἀδελφός
0107,Ἀζὼρ
0125,Αἰγύπτῳ
0142,ἀροῦσιν
0154,αἰτήσῃς
0156,αἰτία
0165,αἰῶνα
0166,αἰωνίου
0169,ἀκαθάρτοις
0189,ἀκοαί
0190,ἠκολούθει
0191,ἀκούοντες
0199,ἀκριβῶς
0206,ἄκρων
0208,ἠκυρώσατε
0216,ἀλάλους
0217,ἅλα
0223,Ἀλεξάνδρου
0230,Ἀληθῶς
0235,ἀλλὰ
0237,ἀλλαχοῦ
0240,ἀλλήλους
0243,ἄλλοις
0256,Ἁλφαίου
0260,ἅμα
0266,ἁμαρτιῶν
0268,ἁμαρτωλούς
0275,ἀμερίμνους
0281,Ἀμὴν
0284,Ἀμιναδὰβ
0290,ἀμπελῶνα
0297,ἀμφότεροι
0301,Ἀμὼς
0302,ἂν
0303,ἀνὰ
0305,ἀναβαίνειν
0373,ἀναπαύεσθε
0395,ἀνατολῆς
0399,ἀναφέρει
0406,Ἀνδρέας
0427,ἄνευ
0444,ἄνθρωπος
0455,ἠνοίγησαν
0473,ἀντὶ
0476,ἀντίδικος
0509,ἄνωθεν
0518,ἀπαγγελεῖ
0561,ἀπέναντι
0565,ἀπελθὼν
0568,ἀπέχει
0575,ἀπὸ
0591,Ἀπόδοτε
0607,ἀπεκεφάλισεν
0611,ἀποκριθεὶς
0614,ἀπόκρυφον
0622,ἀπολέσει
0630,ἀπολῦσαι
0638,ἀπέπνιξαν
0649,ἀποστέλλῃ
0659,ἀπέθετο
0680,ἥψατο
0686,ἄρα
0689,Ἀρὰμ
0694,ἀργύρια
0700,ἤρεσεν
0707,Ἀριμαθαίας
0714,ἀρκέσῃ
0732,ἀρρώστους
0737,ἄρτι
0740,ἄρτους
0745,Ἀρχέλαος
0749,ἀρχιερέων
0756,ἀρξάμενος
0760,Ἀσὰφ
0779,ἀσκοὺς
0806,ἀσφαλῶς
0839,αὔριον
0846,αὐτῶν
0847,αὐτοῦ
0859,ἄφεσιν
0862,ἄφθαρτον
0863,ἀφεθῇ
0881,Ἄχαζ
0885,Ἀχεὶμ
0891,ἄχρι
0897,Βαβυλῶνος
0906,βέβληται
0907,βαπτισθῆναι
0908,βάπτισμα
0912,Βαραββᾶν
0917,βαρέως
0918,Βαρθολομαῖον
0924,Βαρτιμαῖος
0932,βασιλείας
0935,Βασιλέα
0954,Βεελζεβοὺλ
0963,Βηθανίᾳ
0965,Βηθλέεμ
0966,Βηθσαϊδάν
0967,Βηθφαγὴ
0984,βλάψῃ
0993,Βοανηργές
1003,Βόες
1033,βρώματα
1056,Γαλιλαίαν
1060,γαμοῦσιν
1063,γάρ
1068,Γεθσημανεί
1081,Γεννήματα
1082,Γεννησαρέτ
1092,γεωργούς
1096,γινόμεναι
1097,γνῶναι
1115,Γολγοθᾶν
1116,Γομόρρων
1122,γραμματέων
1135,γυναικός
1138,Δαυεὶδ
1139,δαιμονιζόμενον
1147,δακτύλῳ
1148,Δαλμανουθά
1158,Δανιὴλ
1161,δὲ
1171,δεινῶς
1176,δέκα
1179,Δεκαπόλεως
1204,δεῦρο
1205,δεῦτε
1208,δευτέρῳ
1211,δὴ
1223,δι’
1228,διαβόλῳ
1254,διεκώλυεν
1310,διεφημίσθη
1321,ἐδιδάχθησαν
1322,διδαχὴ
1323,δίδραχμα
1325,δώσει
1342,δικαίους
1343,δικαιοσύνην
1352,διὸ
1364,δὶς
1410,δύνασαί
1411,δυνάμεις
1417,δύο
1423,δυσκόλως
1424,δύσεως
1427,δώδεκα
1430,δώματος
1432,δωρεὰν
1437,Ἐὰν
1438,ἑαυτάς
1441,ἑβδομηκοντάκις
1448,ἤγγικεν
1451,ἐγγύς
1459,ἐγκατέλιπες
1473,μου
1478,Ἐζεκίας
1484,ἔθνεσιν
1487,εἰ
1490,μήγε
1510,ἔστιν
1519,εἰς
1520,μιᾷ
1525,εἰσελθάτω
1530,ἀναπηδήσας
1534,εἶτα
1537,ἐκ
1540,ἑκατὸν
1563,ἐκεῖ
1564,ἐκεῖθεν
1565,ἐκεῖνοι
1590,ἐκλυθῶσιν
1605,ἐξεπλήσσοντο
1610,ἐκριζώσητε
1622,ἐκτὸς
1632,ἐκχεῖται
1637,ἔλαιον
1648,Ἐλεάζαρ
1651,ἔλεγξον
1653,ἐλέησον
1658,ἐλεύθεροί
1662,Ἐλιακεὶμ
1664,Ἐλιοὺδ
1682,Ἐλωῒ
1683,ἐμαυτὸν
1694,Ἐμμανουήλ
1699,ἐμὸν
1702,ἐμπαίζοντες
1713,ἐμπόρῳ
1715,ἔμπροσθεν
1722,ἐν
1733,ἕνδεκα
1752,ἕνεκεν
1759,ἔνθεν
1760,ἐνθυμεῖσθε
1767,ἐννέα
1768,ἐνενήκοντα
1773,ἔννυχα
1787,ἐντὸς
1803,ἓξ
1804,ἐξήγγειλαν
1810,ἐξαίφνης
1819,ἐξάπινα
1821,ἐξαπέστειλεν
1824,ἐξαυτῆς
1831,ἔξελθε
1832,ἔξεστίν
1835,ἑξήκοντα
1849,ἐξουσίαν
1854,ἔξω
1855,ἔξωθεν
1875,ἐπὰν
1883,ἐπάνω
1887,ἐπαύριον
1893,ἐπεὶ
1909,ἐπὶ
1921,ἐπιγνώσεσθε
1994,ἐπιστρέψωσιν
2004,ἐπιτάσσει
2007,ἐπιθήσουσιν
2008,ἐπετίμησεν
2010,ἐπίτρεψόν
2033,ἑπτὰ
2034,ἑπτάκις
2038,ἐργάζου
2046,ῥηθὲν
2064,ἐλεύσεται
2068,ἐσθίουσιν
2074,Ἐσρὼμ
2078,ἐσχάτων
2079,ἐσχάτως
2080,ἔσω
2081,ἔσωθεν
2089,ἔτι
2090,ἑτοιμάσαντες
2095,εὖ
2106,εὐδόκησεν
2112,εὐθέως
2117,εὐθὺς
2122,εὐκαίρως
2176,εὐωνύμων
2191,ἐχιδνῶν
2192,ἕξουσιν
2193,ἕως
2194,Ζαβουλὼν
2196,Ζαρὰ
2197,Ζαχαρίου
2199,Ζεβεδαίου
2212,ζητοῦντι
2215,ζιζάνια
2216,Ζοροβαβὲλ
2228,ἢ
2234,ἡδέως
2235,ἤδη
2243,Ἠλείας
2250,ἡμέρας
2255,ἡμίσους
2264,Ἠρῴδου
2265,Ἠρῳδιανῶν
2266,Ἠρῳδιάδος
2268,Ἠσαΐας
2280,Θαδδαῖον
2281,θάλασσαν
2283,Θάμαρ
2286,θανάσιμόν
2288,θάνατον
2290,θάψαι
2307,θέλημα
2309,θέλῃς
2316,Θεός
2323,ἐθεράπευσεν
2344,θησαυρὸν
2351,θόρυβος
2381,Θωμᾶν
2383,Ἰάειρος
2384,Ἰακώβ
2385,Ἰακώβου
2390,ἰάσομαι
2395,ἰατροῦ
2398,ἰδίαν
2401,Ἰδουμαίας
2408,Ἱερεμίου
2410,Ἰερειχὼ
2413,ἱερὸν
2414,Ἱεροσόλυμα
2415,Ἱεροσολυμεῖται
2419,Ἰερουσαλήμ
2421,Ἰεσσαὶ
2424,Ἰησοῦς
2440,ἱματίου
2443,ἵνα
2446,Ἰορδάνου
2448,Ἰούδα
2449,Ἰουδαίᾳ
2453,Ἰουδαίων
2455,Ἰούδας
2464,Ἰσαὰκ
2469,Ἰσκαριὼθ
2474,Ἰσραὴλ
2480,ἰσχύοντες
2486,ἰχθύας
2488,Ἰωαθὰμ
2491,Ἰωάνην
2495,Ἰωνᾶ
2496,Ἰωρὰμ
2498,Ἰωσαφὰτ
2500,Ἰωσῆτος
2501,Ἰωσὴφ
2502,Ἰωσείας
2504,κἀγὼ
2505,καθὰ
2511,καθαρίσαι
2531,καθὼς
2532,καὶ
2533,Καϊάφαν
2537,καινή
2541,Καίσαρι
2542,Καισαρίας
2546,κἀκεῖ
2547,Κἀκεῖθεν
2548,κἀκεῖνοι
2560,κακῶς
2564,καλέσαι
2570,καλόν
2573,καλῶς
2579,κἂν
2584,Καφαρναούμ
2588,καρδίᾳ
2590,καρπὸς
2596,Κατὰ
2597,καταβάτω
2599,καταβαρυνόμενοι
2647,καταλυθῇ
2662,καταπατήσουσιν
2670,καταποντίζεσθαι
2672,κατηραμένοι
2698,κατέθηκεν
2713,κατέναντι
2736,κάτω
2770,ἐκέρδησα
2776,κεφαλὴν
2782,κήρυγμα
2784,κηρύσσειν
2795,κινῆσαι
2825,κλίνην
2877,κοράσιον
2885,κεκοσμημένον
2896,ἔκραξεν
2920,κρίσιν
2923,κριτὴς
2927,κρυπτὸν
2945,κύκλῳ
2948,κυλλούς
2952,κυνάρια
2956,Κυρηναῖον
2962,κύριος
2967,ἐκωλύομεν
2968,κώμας
2974,κωφὸν
2977,λάθρᾳ
2980,λαλεῖν
2982,λαμὰ
2983,λαμβάνουσιν
2992,λαοῦ
3004,εἶπεν
3018,Λευεὶν
3029,λίαν
3037,λίθος
3056,λόγον
3063,λοιπὸν
3087,λυχνίαν
3088,λύχνος
3093,Μαγαδάν
3094,Μαγδαληνῇ
3101,μαθηταὶ
3112,μακρὰν
3113,μακρόθεν
3123,μᾶλλον
3128,Μανασσῆς
3135,μαργαρίτας
3137,Μαρίᾳ
3155,μάτην
3156,Μαθθαῖον
3157,Μαθθὰν
3162,μαχαιρῶν
3173,μείζων
3195,Μέλλων
3303,μὲν
3307,ἐμέρισεν
3326,Μετὰ
3338,μεταμεληθεὶς
3339,μετεμορφώθη
3340,Μετανοεῖτε
3341,μετανοίας
3342,μεταξὺ
3360,μέχρις
3361,μὴ
3366,μηδὲ
3371,Μηκέτι
3383,μήτε
3384,μητρὶ
3385,Μήτι
3398,μικρὸν
3403,ἐμνήσθημεν
3408,μισθόν
3418,μνῆμα
3426,μόδιον
3440,μόνον
3441,μόνους
3458,μύλος
3466,μυστήρια
3475,Μωϋσέως
3478,Ναζαρὲτ
3480,Ναζωραῖος
3483,Ναί
3501,νέον
3508,Νεφθαλείμ
3522,νηστεύουσιν
3536,Νινευεῖται
3562,νουνεχῶς
3567,νυμφὼν
3568,νῦν
3571,νύκτας
3575,Νῶε
3583,ἐξηραμμένην
3584,ξηράν
3586,ξύλων
3588,τῆς
3598,ὁδῷ
3604,Ὀζείας
3606,ὅθεν
3610,οἰκετείας
3614,οἰκίας
3631,οἶνον
3634,οἵα
3640,ὀλιγοπιστίαν
3641,ὀλίγον
3654,ὅλως
3664,ὁμοία
3668,ὁμοίως
3684,ὀνικὸς
3686,ὀνόματός
3689,ὄντως
3693,ὄπισθεν
3694,ὀπίσω
3699,ὅπου
3704,ὅπως
3708,ὄψεσθε
3709,ὀργῆς
3723,ὀρθῶς
3735,ὄρος
3738,ὀρχησαμένης
3739,ἧς
3745,ὅσα
3748,οἵτινες
3752,ὅταν
3753,ὅτε
3754,ὅτι
3755,ὅτου
3756,οὐ
3757,οὗ
3758,Οὐὰ
3759,οὐαὶ
3760,οὐδαμῶς
3761,οὐδὲ
3763,Οὐδέποτε
3765,οὐκέτι
3767,οὖν
3768,οὔπω
3772,οὐρανοῖς
3774,Οὐρίου
3775,ὠσὶν
3777,οὔτε
3778,ταῦτα
3779,οὕτως
3780,οὐχὶ
3788,ὀφθαλμός
3789,ὄφεις
3793,ὄχλος
3796,ὀψὲ
3812,παιδιόθεν
3813,παιδίων
3819,πάλαι
3825,πάλιν
3837,πανταχοῦ
3840,πάντοθεν
3842,πάντοτε
3844,παρ’
3853,παρηγγελμένα
3860,παραδίδοται
3862,παράδοσιν
3885,παραλυτικούς
3908,παρατιθῶσιν
3916,παραχρῆμα
3924,παρεκτὸς
3928,παρελεύσονται
3956,Πάντα
3962,πατέρα
3979,πεζῇ
4002,πέντε
4004,πεντήκοντα
4008,πέραν
4012,περὶ
4029,περίκειται
4043,περιεπάτησεν
4053,περισσότερον
4057,περισσῶς
4058,περιστερὰν
4074,Πέτρον
4075,πετρώδη
4090,πικρῶς
4091,Πειλᾶτος
4094,πίνακι
4095,πίωσιν
4102,πίστιν
4133,πλὴν
4137,πληρῶσαι
4139,πλησίον
4151,πνεύμασι
4159,πόθεν
4160,ποιήσω
4169,Ποία
4178,πολλάκις
4179,πολλαπλασίονα
4183,πολλοὶ
4190,πονηρός
4198,πορεύεσθε
4206,πόρρω
4212,ποσάκις
4214,πόσα
4218,ποτε
4219,πότε
4226,ποῦ
4228,ποσὶν
4241,πρέπον
4245,πρεσβυτέρων
4250,Πρὶν
4253,πρὸ
4302,προείρηκα
4314,πρὸς
4317,προσήχθη
4334,προσελθὼν
4350,προσκόψῃς
4369,προστεθήσεται
4396,προφήτην
4404,πρωῒ
4412,πρῶτον
4413,πρώτῳ
4434,πτωχοῖς
4442,πῦρ
4453,πωλοῦντας
4459,πῶς
4471,Ῥαμὰ
4472,ῥαντίσωνται
4477,Ῥαχάβ
4478,Ῥαχὴλ
4486,ῥήγνυνται
4497,Ῥοβοὰμ
4503,Ῥούθ
4504,Ῥούφου
4523,Σαδδουκαῖοι
4524,Σαδὼκ
4528,Σαλαθιὴλ
4533,Σαλμὼν
4539,Σαλώμη
4541,Σαμαρειτῶν
4563,σεσαρωμένον
4572,σεαυτὸν
4583,σεληνιαζομένους
4594,σήμερον
4605,Σιδῶνος
4613,Σίμωνα
4621,σῖτον
4622,Σιών
4653,σκοτίᾳ
4670,Σοδόμων
4672,Σολομῶνος
4674,σούς
4678,σοφία
4687,σπειρόμενοι
4762,στραφέντες
4771,ὑμῖν
4808,συκῆν
4816,συλλέγοντες
4851,συμφέρει
4862,σὺν
4864,συναγωγήν
4873,συνανακειμένοις
4920,συνῶσιν
4933,συντηροῦνται
4935,συντόμως
4947,Συρίαν
4949,Συροφοινίκισσα
4970,σφόδρα
4982,σῶσόν
4991,σωτηρίας
5007,τάλαντα
5035,ταχὺ
5037,τε
5043,Τέκνον
5062,τεσσεράκοντα
5081,τηλαυγῶς
5083,τηρήσητε
5087,τεθῇ
5090,Τιμαίου
5100,τι
5101,Τίς
5108,τοιαύτη
5118,τοσοῦτον
5119,τότε
5132,τραπέζης
5137,τράχηλον
5144,τριάκοντα
5151,τρίς
5184,Τύρου
5185,τυφλούς
5204,ὕδατα
5207,Υἱὸς
5217,ὕπαγε
5219,ὑπακούουσιν
5225,ὑπάρχοντα
5228,ὑπὲρ
5249,ὑπερπερισσῶς
5257,ὑπηρέτῃ
5259,ὑπ’
5263,ὑπέδειξεν
5270,ὑποκάτω
5305,Ὕστερον
5306,ὕστερος
5308,ὑψηλὸν
5318,φανερόν
5319,φανερωθῇ
5320,φανερῶς
5329,Φαρὲς
5342,ἤνεγκεν
5343,φυγεῖν
5346,ἔφη
5376,Φιλίππου
5392,Φιμώθητι
5399,ἐφοβήθη
5438,φυλακῇ
5455,φωνῆσαι
5479,χαρᾶς
5495,χεῖρας
5523,Χοραζείν
5532,χρείαν
5547,Χριστόν
5565,χωρὶς
5589,ψιχίων
5590,ψυχή
5599,Ὦ
5601,Ἰωβὴδ
5602,ὧδε
5606,ὤμους
5610,ὥρα
5613,ὡς
5614,Ὡσαννὰ
5615,ὡσαύτως
5616,ὡσεὶ
5618,ὥσπερ
5620,ὥστε